epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1693.84,1.24064,10.502,1.2824,0.90834,0.88622,0.93794,0.75166,0.74885,2.64733,0.88333,0.0033328,0.0033328,0.0033328
2,3371.74,1.06799,7.35879,1.15819,0.92729,0.90344,0.95149,0.77631,0.70448,2.33813,0.86569,0.00666541,0.00666541,0.00666541
3,5041.67,1.08239,7.2352,1.16596,0.92144,0.9172,0.95436,0.79445,0.65193,2.25001,0.85725,0.00999512,0.00999512,0.00999512
4,6706.73,1.05248,6.88271,1.15185,0.92909,0.92895,0.96215,0.80938,0.63331,2.06417,0.84767,0.00999023,0.00999023,0.00999023
5,8380.23,0.98842,6.34299,1.11792,0.93564,0.92958,0.96548,0.82256,0.60565,2.04204,0.83897,0.00998264,0.00998264,0.00998264
6,10052.6,0.95312,6.05944,1.09812,0.93772,0.93328,0.96722,0.82697,0.60152,1.88517,0.83521,0.00997288,0.00997288,0.00997288
7,11725.1,0.92614,5.86899,1.0852,0.93928,0.93531,0.96847,0.83015,0.59542,1.87312,0.83278,0.00996097,0.00996097,0.00996097
8,13399.2,0.90842,5.74761,1.07634,0.94438,0.93359,0.96942,0.83291,0.59194,1.84051,0.83112,0.0099469,0.0099469,0.0099469
9,15074.5,0.8919,5.62946,1.06861,0.94399,0.93591,0.96986,0.83447,0.59017,1.81122,0.82996,0.00993068,0.00993068,0.00993068
10,16752.7,0.88121,5.57017,1.06401,0.94582,0.9362,0.97042,0.83483,0.59045,1.7978,0.8292,0.00991232,0.00991232,0.00991232
11,18429,0.87404,5.50444,1.05938,0.94386,0.93645,0.97087,0.83665,0.58846,1.79782,0.82836,0.00989183,0.00989183,0.00989183
12,20104,0.86513,5.43805,1.05547,0.93816,0.94149,0.97124,0.83731,0.5858,1.80366,0.82746,0.00986922,0.00986922,0.00986922
13,21784.1,0.85752,5.39105,1.0516,0.93664,0.94352,0.97156,0.83809,0.58512,1.79663,0.82693,0.00984449,0.00984449,0.00984449
14,23462.1,0.85234,5.35293,1.04898,0.93686,0.94683,0.97178,0.83815,0.58467,1.79112,0.82648,0.00981765,0.00981765,0.00981765
15,25132.5,0.84753,5.31442,1.04701,0.93908,0.94387,0.97221,0.83859,0.58524,1.7868,0.82614,0.00978873,0.00978873,0.00978873
16,26805.5,0.8427,5.28865,1.04412,0.93969,0.94358,0.97235,0.83941,0.58419,1.77884,0.82559,0.00975773,0.00975773,0.00975773
17,28476,0.83926,5.2787,1.04316,0.94112,0.94289,0.97257,0.84094,0.58178,1.77707,0.82487,0.00972466,0.00972466,0.00972466
18,30153.5,0.83546,5.25792,1.04205,0.94293,0.94265,0.97274,0.84252,0.57807,1.77772,0.82403,0.00968955,0.00968955,0.00968955
19,31828.3,0.83193,5.22239,1.04014,0.94506,0.94249,0.97302,0.84392,0.57605,1.76498,0.82328,0.00965239,0.00965239,0.00965239
20,33506.3,0.82937,5.21762,1.03811,0.94502,0.94255,0.97324,0.84416,0.5738,1.73804,0.82248,0.00961322,0.00961322,0.00961322
21,35182.6,0.82561,5.18463,1.03636,0.9447,0.94361,0.9735,0.84548,0.57186,1.7145,0.82172,0.00957205,0.00957205,0.00957205
22,36861,0.82444,5.18271,1.03626,0.94491,0.94356,0.97362,0.8458,0.5706,1.69276,0.82104,0.00952889,0.00952889,0.00952889
23,38538.6,0.82225,5.15964,1.03554,0.94676,0.94288,0.97379,0.84735,0.56705,1.68218,0.8203,0.00948377,0.00948377,0.00948377
24,40211,0.82062,5.14321,1.03387,0.94616,0.946,0.97404,0.84815,0.56584,1.66356,0.81982,0.00943671,0.00943671,0.00943671
25,41888.3,0.81755,5.12516,1.03335,0.94674,0.94687,0.9743,0.84939,0.56276,1.64386,0.81913,0.00938772,0.00938772,0.00938772
26,43566.2,0.81572,5.11464,1.03176,0.94543,0.94764,0.97448,0.84999,0.56016,1.62961,0.81841,0.00933683,0.00933683,0.00933683
27,45239.9,0.81243,5.10319,1.03076,0.94854,0.94565,0.97479,0.85188,0.55632,1.62176,0.81759,0.00928405,0.00928405,0.00928405
28,46919.5,0.81034,5.10538,1.03078,0.94981,0.94553,0.97501,0.85259,0.55343,1.61087,0.81693,0.00922942,0.00922942,0.00922942
29,48594.5,0.80856,5.07735,1.02886,0.95047,0.94528,0.97515,0.85365,0.55112,1.60389,0.81633,0.00917296,0.00917296,0.00917296
30,50274.1,0.80707,5.0886,1.02957,0.95045,0.94509,0.97533,0.85481,0.54963,1.60045,0.81586,0.00911469,0.00911469,0.00911469
31,51947.8,0.80392,5.06478,1.02789,0.94944,0.94574,0.97545,0.85616,0.54575,1.5963,0.81505,0.00905463,0.00905463,0.00905463
32,53618.4,0.80304,5.0436,1.02698,0.95043,0.94615,0.97559,0.85685,0.54359,1.58905,0.81452,0.00899282,0.00899282,0.00899282
33,55294.6,0.80043,5.04707,1.02626,0.95082,0.94665,0.97582,0.85754,0.54245,1.5818,0.81419,0.00892928,0.00892928,0.00892928
34,56973.9,0.79765,5.02717,1.02479,0.94955,0.94798,0.97588,0.85802,0.54077,1.57672,0.81368,0.00886404,0.00886404,0.00886404
35,58651.6,0.79547,5.00976,1.02378,0.94822,0.94902,0.97598,0.85849,0.53895,1.57259,0.8133,0.00879713,0.00879713,0.00879713
36,60331.7,0.79616,5.00842,1.02382,0.94885,0.94893,0.97604,0.85941,0.53835,1.5681,0.81302,0.00872857,0.00872857,0.00872857
37,62006.9,0.79512,4.98679,1.02331,0.94797,0.94987,0.97625,0.85924,0.5391,1.56848,0.8131,0.00865839,0.00865839,0.00865839
38,63680.2,0.79191,4.98203,1.02196,0.949,0.94957,0.97643,0.85977,0.53697,1.56716,0.81279,0.00858664,0.00858664,0.00858664
39,65353.7,0.79024,4.97496,1.02124,0.95105,0.94907,0.97669,0.86117,0.53465,1.56064,0.81235,0.00851333,0.00851333,0.00851333
40,67037.6,0.78885,4.9579,1.0202,0.9514,0.94943,0.97681,0.86183,0.53344,1.55544,0.81207,0.00843851,0.00843851,0.00843851
41,68702.4,0.78698,4.95809,1.01994,0.95178,0.94967,0.97701,0.86271,0.53216,1.55297,0.81171,0.0083622,0.0083622,0.0083622
42,70368.2,0.78619,4.94266,1.01927,0.95184,0.9491,0.97714,0.8635,0.52933,1.54571,0.81116,0.00828443,0.00828443,0.00828443
43,72034.2,0.78342,4.92831,1.01781,0.95107,0.94948,0.97725,0.8651,0.52588,1.54196,0.81049,0.00820525,0.00820525,0.00820525
44,73703,0.7832,4.93554,1.01816,0.95246,0.94926,0.97733,0.86506,0.52624,1.53909,0.81042,0.00812468,0.00812468,0.00812468
45,75371.2,0.78181,4.92378,1.01815,0.95236,0.94944,0.97749,0.86526,0.52731,1.53532,0.81042,0.00804277,0.00804277,0.00804277
46,77037.3,0.77765,4.8957,1.01526,0.95237,0.95026,0.97746,0.86601,0.5248,1.53177,0.80998,0.00795954,0.00795954,0.00795954
47,78704.4,0.77845,4.90341,1.0164,0.95248,0.95097,0.97759,0.86636,0.52278,1.53112,0.8096,0.00787503,0.00787503,0.00787503
48,80370.5,0.77631,4.88417,1.01487,0.95293,0.95038,0.97775,0.8673,0.52173,1.53281,0.80934,0.00778929,0.00778929,0.00778929
49,82038.6,0.77324,4.86001,1.01395,0.95406,0.94997,0.97768,0.86782,0.51982,1.53141,0.80904,0.00770234,0.00770234,0.00770234
50,83713.6,0.77286,4.86308,1.01382,0.95469,0.94973,0.97786,0.86843,0.51731,1.52209,0.80852,0.00761423,0.00761423,0.00761423
51,85384.5,0.77136,4.86276,1.01345,0.95305,0.95072,0.97797,0.86866,0.51685,1.5162,0.80829,0.007525,0.007525,0.007525
52,87056,0.76853,4.83808,1.01203,0.95435,0.94989,0.97807,0.86894,0.516,1.51229,0.80804,0.00743468,0.00743468,0.00743468
53,88723.8,0.7682,4.83796,1.0114,0.95457,0.9497,0.97806,0.86936,0.51573,1.51105,0.80791,0.00734332,0.00734332,0.00734332
54,90401.4,0.76449,4.80806,1.01008,0.95449,0.94963,0.97816,0.86946,0.51433,1.50871,0.80758,0.00725094,0.00725094,0.00725094
55,92075.8,0.76371,4.80266,1.00941,0.95304,0.95048,0.97821,0.86953,0.51439,1.50506,0.80756,0.00715761,0.00715761,0.00715761
56,93752.3,0.76269,4.79896,1.00907,0.95387,0.95008,0.97828,0.86972,0.51442,1.50145,0.80753,0.00706335,0.00706335,0.00706335
57,1664.69,0.74565,4.69361,1.00173,0.95461,0.95012,0.97845,0.87001,0.51476,1.4941,0.80738,0.0069682,0.0069682,0.0069682
58,3329.36,0.75687,4.75672,1.00647,0.95444,0.95077,0.97857,0.87003,0.5151,1.49071,0.80734,0.00687222,0.00687222,0.00687222
59,4995.04,0.75663,4.76716,1.00674,0.95492,0.95057,0.97862,0.87067,0.51349,1.48566,0.80699,0.00677543,0.00677543,0.00677543
60,6663.01,0.75729,4.76173,1.00719,0.95521,0.95098,0.9786,0.87085,0.51109,1.48222,0.80654,0.00667789,0.00667789,0.00667789
61,8331.28,0.7544,4.75588,1.00587,0.95385,0.95208,0.9787,0.87152,0.51012,1.48283,0.80624,0.00657963,0.00657963,0.00657963
62,9998.1,0.75497,4.74151,1.00496,0.95538,0.95094,0.97865,0.87224,0.50959,1.48018,0.80606,0.00648071,0.00648071,0.00648071
63,11668.1,0.75134,4.73499,1.00452,0.95621,0.95062,0.9787,0.87239,0.51025,1.47938,0.80617,0.00638115,0.00638115,0.00638115
64,13334.2,0.75041,4.72391,1.00377,0.95649,0.9502,0.97879,0.87265,0.51081,1.47799,0.80624,0.00628101,0.00628101,0.00628101
65,15001.7,0.74615,4.70244,1.00233,0.9571,0.94993,0.9788,0.87249,0.5099,1.47788,0.80608,0.00618034,0.00618034,0.00618034
66,16664.6,0.74531,4.70876,1.00253,0.95495,0.9517,0.97882,0.87295,0.50901,1.47315,0.80591,0.00607916,0.00607916,0.00607916
67,18327.8,0.74511,4.69692,1.00207,0.95601,0.95162,0.97891,0.87302,0.50819,1.47271,0.80572,0.00597754,0.00597754,0.00597754
68,19992,0.74312,4.67678,1.00064,0.95584,0.9526,0.97904,0.87336,0.5087,1.47324,0.80576,0.00587551,0.00587551,0.00587551
69,21658.2,0.7403,4.66036,0.99927,0.95467,0.95284,0.97905,0.87357,0.50827,1.46835,0.80559,0.00577311,0.00577311,0.00577311
70,23325.3,0.73852,4.65251,0.99873,0.95673,0.95161,0.97914,0.87358,0.50918,1.46712,0.8056,0.0056704,0.0056704,0.0056704
71,24985.6,0.73743,4.63822,0.99833,0.95754,0.95039,0.97926,0.87303,0.50952,1.46605,0.8057,0.00556742,0.00556742,0.00556742
72,26640.4,0.73408,4.61978,0.9966,0.95902,0.95027,0.97943,0.87329,0.50962,1.46684,0.80568,0.00546421,0.00546421,0.00546421
73,28307.4,0.73187,4.62076,0.9963,0.95663,0.95376,0.97951,0.87331,0.51071,1.46598,0.80578,0.00536081,0.00536081,0.00536081
74,29977.2,0.72987,4.61102,0.99592,0.95722,0.95361,0.97962,0.87347,0.51047,1.46255,0.80568,0.00525728,0.00525728,0.00525728
75,31649.6,0.72848,4.58909,0.99479,0.95742,0.95264,0.9797,0.8739,0.5093,1.45916,0.80547,0.00515366,0.00515366,0.00515366
76,33314.5,0.72672,4.5887,0.99383,0.95745,0.95288,0.97977,0.87499,0.50703,1.45316,0.80507,0.00505,0.00505,0.00505
77,34984.2,0.72287,4.56237,0.9922,0.95703,0.95341,0.97982,0.87566,0.50527,1.45068,0.80462,0.00494634,0.00494634,0.00494634
78,36648.5,0.72229,4.55255,0.99224,0.95718,0.95309,0.97992,0.87561,0.5049,1.4494,0.80433,0.00484272,0.00484272,0.00484272
79,38313.7,0.72081,4.54363,0.9916,0.95737,0.95372,0.98001,0.87569,0.50568,1.45064,0.80435,0.00473919,0.00473919,0.00473919
80,39980.4,0.71862,4.52426,0.99021,0.95734,0.9539,0.98013,0.87455,0.50838,1.4511,0.80462,0.00463579,0.00463579,0.00463579
81,41645.9,0.71569,4.50579,0.98972,0.95617,0.95424,0.98017,0.87384,0.51099,1.44772,0.80497,0.00453258,0.00453258,0.00453258
82,43312.5,0.71337,4.49429,0.98801,0.956,0.95545,0.98033,0.87416,0.51106,1.44959,0.80492,0.0044296,0.0044296,0.0044296
83,44977.9,0.71093,4.48714,0.98731,0.95614,0.9556,0.98045,0.87417,0.51231,1.45439,0.80508,0.00432689,0.00432689,0.00432689
84,46646.5,0.70874,4.48552,0.98723,0.95737,0.9562,0.98068,0.87498,0.51117,1.45361,0.80474,0.00422449,0.00422449,0.00422449
85,48317.4,0.70603,4.45331,0.98488,0.95742,0.95674,0.98074,0.87522,0.51046,1.45197,0.80457,0.00412246,0.00412246,0.00412246
86,49980.2,0.70514,4.45985,0.98542,0.95797,0.95615,0.98071,0.87575,0.50964,1.44931,0.80439,0.00402084,0.00402084,0.00402084
87,51648.9,0.70278,4.44658,0.98455,0.95692,0.95757,0.98092,0.87616,0.50958,1.45361,0.80429,0.00391966,0.00391966,0.00391966
