epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3374.28,0.71298,4.09347,0.98695,0.96234,0.92976,0.97439,0.84292,0.5723,1.71601,0.89132,0.00333307,0.00333307,0.00333307
2,6720.47,0.68673,2.79812,0.96712,0.96585,0.93858,0.97837,0.86342,0.53068,1.55489,0.87306,0.00666568,0.00666568,0.00666568
3,10046,0.73245,3.03006,0.96257,0.94592,0.95113,0.97859,0.86253,0.52682,1.73855,0.85847,0.00999539,0.00999539,0.00999539
4,13370.8,0.75542,3.11533,0.95431,0.92003,0.93326,0.97344,0.85494,0.53067,2.12162,0.84602,0.00999023,0.00999023,0.00999023
5,16696.4,0.7338,2.97793,0.93961,0.93395,0.94083,0.97571,0.85569,0.53735,2.13507,0.84306,0.00998264,0.00998264,0.00998264
6,20019.8,0.72202,2.89283,0.93355,0.95104,0.93514,0.97532,0.85357,0.54173,2.11067,0.84086,0.00997288,0.00997288,0.00997288
7,23343.5,0.71509,2.8588,0.93083,0.95513,0.93325,0.97645,0.85488,0.5408,1.98494,0.83659,0.00996097,0.00996097,0.00996097
8,26663.9,0.70966,2.82982,0.92839,0.95662,0.9457,0.97794,0.8586,0.53566,1.8249,0.83273,0.0099469,0.0099469,0.0099469
9,29984.3,0.7058,2.80446,0.92639,0.96454,0.94242,0.97932,0.86403,0.52725,1.69117,0.82868,0.00993068,0.00993068,0.00993068
10,33311.5,0.70405,2.79612,0.92521,0.96706,0.94289,0.98023,0.86752,0.52185,1.59017,0.82541,0.00991232,0.00991232,0.00991232
11,36633.7,0.70116,2.78078,0.9241,0.96664,0.94471,0.98067,0.87088,0.51506,1.51726,0.82248,0.00989183,0.00989183,0.00989183
12,39954,0.69984,2.77201,0.92366,0.96657,0.94698,0.98098,0.87304,0.51195,1.4706,0.82084,0.00986922,0.00986922,0.00986922
13,43276.1,0.69813,2.7659,0.92326,0.96878,0.94603,0.98133,0.87529,0.50877,1.43824,0.81943,0.00984449,0.00984449,0.00984449
14,46601.9,0.69619,2.75471,0.92211,0.9676,0.94676,0.98161,0.87576,0.50678,1.41773,0.81807,0.00981765,0.00981765,0.00981765
15,49919.5,0.69681,2.75984,0.92267,0.96822,0.94673,0.98159,0.87683,0.50463,1.4048,0.81729,0.00978873,0.00978873,0.00978873
16,53244.4,0.69517,2.74944,0.9224,0.97137,0.94498,0.98189,0.87844,0.5022,1.39082,0.81666,0.00975773,0.00975773,0.00975773
17,56567.5,0.69197,2.73908,0.92086,0.97074,0.94508,0.98188,0.87938,0.50024,1.38163,0.816,0.00972466,0.00972466,0.00972466
18,59891.6,0.69278,2.73111,0.92143,0.96994,0.9465,0.98197,0.87972,0.49946,1.37606,0.81562,0.00968955,0.00968955,0.00968955
19,63211.3,0.69105,2.72143,0.92,0.96967,0.94666,0.98211,0.88053,0.49797,1.36812,0.81506,0.00965239,0.00965239,0.00965239
20,66535.4,0.68961,2.72484,0.9199,0.96905,0.94689,0.98216,0.88148,0.4963,1.36281,0.81466,0.00961322,0.00961322,0.00961322
21,3308.33,0.68388,2.68832,0.91796,0.97055,0.94697,0.98243,0.88207,0.49444,1.35081,0.81417,0.00957205,0.00957205,0.00957205
22,6627.77,0.6906,2.72262,0.9204,0.97026,0.94734,0.98253,0.88276,0.4938,1.34713,0.8141,0.00952889,0.00952889,0.00952889
23,9946.84,0.68998,2.72213,0.91988,0.97147,0.94637,0.9826,0.88254,0.49397,1.34551,0.81401,0.00948377,0.00948377,0.00948377
24,13266.3,0.68718,2.70984,0.91861,0.97052,0.94697,0.98258,0.8827,0.49339,1.34646,0.81379,0.00943671,0.00943671,0.00943671
25,16580.7,0.68573,2.70526,0.91788,0.969,0.9495,0.98271,0.88292,0.49345,1.34583,0.81346,0.00938772,0.00938772,0.00938772
