epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1718.99,0.65448,3.72072,1.0073,0.94761,0.93868,0.97433,0.85074,0.54694,1.97382,0.93072,0.0033328,0.0033328,0.0033328
2,3420.76,0.64874,2.68214,0.99549,0.95376,0.93496,0.97476,0.85551,0.54037,1.77207,0.92175,0.00666541,0.00666541,0.00666541
3,5122.22,0.69837,2.93806,1.00174,0.94822,0.93871,0.97397,0.86131,0.51642,1.71593,0.88328,0.00999512,0.00999512,0.00999512
4,6819.85,0.73155,3.11719,0.98589,0.95018,0.9375,0.97526,0.86264,0.51586,1.6827,0.8626,0.00999023,0.00999023,0.00999023
5,8511,0.71388,3.00285,0.95577,0.95386,0.93944,0.97579,0.86761,0.50417,1.59283,0.83791,0.00998264,0.00998264,0.00998264
6,10202,0.70262,2.91658,0.94141,0.95008,0.94475,0.97677,0.8749,0.4866,1.53833,0.828,0.00997288,0.00997288,0.00997288
7,11896,0.6943,2.8564,0.93245,0.94989,0.94531,0.97678,0.87659,0.48396,1.53172,0.82268,0.00996097,0.00996097,0.00996097
8,13587.6,0.68578,2.80775,0.92524,0.95289,0.94437,0.97771,0.8798,0.4774,1.49851,0.81872,0.0099469,0.0099469,0.0099469
9,15280.7,0.68192,2.77943,0.92264,0.9562,0.94493,0.97812,0.88069,0.47652,1.47736,0.81714,0.00993068,0.00993068,0.00993068
10,16976.2,0.67942,2.75696,0.9214,0.95619,0.94481,0.97822,0.88262,0.47326,1.46752,0.81579,0.00991232,0.00991232,0.00991232
11,18671.7,0.67374,2.72282,0.91844,0.95675,0.94484,0.97834,0.88381,0.47141,1.45765,0.81474,0.00989183,0.00989183,0.00989183
12,20365.6,0.6725,2.71806,0.91652,0.95584,0.94553,0.97829,0.88484,0.46906,1.44913,0.81343,0.00986922,0.00986922,0.00986922
13,22056.9,0.66885,2.6994,0.91494,0.9558,0.94446,0.97842,0.88504,0.46812,1.44587,0.81259,0.00984449,0.00984449,0.00984449
14,23748.7,0.66854,2.69523,0.91454,0.95586,0.94492,0.97862,0.88606,0.46633,1.4418,0.81165,0.00981765,0.00981765,0.00981765
15,25438,0.66783,2.68887,0.91485,0.95435,0.94705,0.97866,0.88696,0.46536,1.43669,0.81107,0.00978873,0.00978873,0.00978873
16,27131.4,0.66413,2.67786,0.91192,0.95274,0.94915,0.97869,0.88664,0.46495,1.43594,0.81036,0.00975773,0.00975773,0.00975773
17,28815,0.66265,2.6693,0.91168,0.95408,0.94802,0.97866,0.88699,0.46393,1.4339,0.80955,0.00972466,0.00972466,0.00972466
18,30500.9,0.65933,2.6525,0.90979,0.95267,0.94897,0.97877,0.88792,0.46313,1.42861,0.80867,0.00968955,0.00968955,0.00968955
19,32194,0.65884,2.6479,0.91042,0.95536,0.94706,0.97888,0.88796,0.46344,1.424,0.80826,0.00965239,0.00965239,0.00965239
20,33885.1,0.65788,2.64171,0.90996,0.95592,0.94732,0.97901,0.88819,0.46361,1.42159,0.80801,0.00961322,0.00961322,0.00961322
21,35575.5,0.65623,2.62806,0.90928,0.95712,0.94703,0.97907,0.88846,0.46303,1.41774,0.80757,0.00957205,0.00957205,0.00957205
22,37266.7,0.65565,2.63713,0.90781,0.95561,0.94712,0.97915,0.88804,0.46266,1.41468,0.80706,0.00952889,0.00952889,0.00952889
23,38959.1,0.65511,2.63337,0.90784,0.95483,0.94856,0.9794,0.88872,0.46171,1.41295,0.80646,0.00948377,0.00948377,0.00948377
24,40651.9,0.65371,2.62052,0.90694,0.95547,0.94879,0.97948,0.88894,0.46086,1.40919,0.80596,0.00943671,0.00943671,0.00943671
25,42346.4,0.65475,2.62277,0.90794,0.95444,0.94922,0.97949,0.88953,0.45991,1.4039,0.80576,0.00938772,0.00938772,0.00938772
26,44040.9,0.65275,2.62154,0.9069,0.95698,0.94787,0.9796,0.8896,0.45905,1.40117,0.80532,0.00933683,0.00933683,0.00933683
27,45735.2,0.65122,2.61092,0.9064,0.95635,0.94895,0.97983,0.8903,0.4586,1.39686,0.80493,0.00928405,0.00928405,0.00928405
28,47427.9,0.65074,2.61121,0.90635,0.95517,0.95062,0.97996,0.89101,0.45734,1.39445,0.80454,0.00922942,0.00922942,0.00922942
29,49119.8,0.64964,2.60071,0.90518,0.95301,0.95211,0.97996,0.89173,0.45585,1.39174,0.80408,0.00917296,0.00917296,0.00917296
30,50811.9,0.64841,2.59956,0.90457,0.95459,0.95149,0.9799,0.89188,0.45539,1.38897,0.80374,0.00911469,0.00911469,0.00911469
31,52500.6,0.64739,2.59246,0.90389,0.95456,0.95257,0.97992,0.89225,0.4556,1.38899,0.80329,0.00905463,0.00905463,0.00905463
32,54191.3,0.64713,2.59246,0.90326,0.95512,0.95182,0.98004,0.89236,0.45472,1.38651,0.80284,0.00899282,0.00899282,0.00899282
33,55880.1,0.64612,2.5831,0.90391,0.95598,0.95017,0.98012,0.89261,0.45403,1.38507,0.80272,0.00892928,0.00892928,0.00892928
34,57569.4,0.64612,2.57803,0.90472,0.95411,0.95188,0.97997,0.8928,0.45388,1.38401,0.80269,0.00886404,0.00886404,0.00886404
35,59256.8,0.64464,2.58092,0.90358,0.95328,0.95205,0.98014,0.89276,0.45338,1.38328,0.8024,0.00879713,0.00879713,0.00879713
36,60947.7,0.64272,2.57144,0.9027,0.95576,0.94989,0.98008,0.89279,0.45267,1.38378,0.80216,0.00872857,0.00872857,0.00872857
37,62640.6,0.64345,2.56623,0.90434,0.9542,0.95048,0.98016,0.89359,0.45216,1.38057,0.80243,0.00865839,0.00865839,0.00865839
38,64332.8,0.64095,2.55902,0.90183,0.95436,0.95121,0.98035,0.89379,0.45177,1.37751,0.80204,0.00858664,0.00858664,0.00858664
39,66027.8,0.63944,2.55264,0.90171,0.95563,0.95105,0.98036,0.89395,0.45095,1.3752,0.80167,0.00851333,0.00851333,0.00851333
40,67720.2,0.64021,2.55037,0.90264,0.9566,0.94995,0.98024,0.89438,0.45057,1.37345,0.80159,0.00843851,0.00843851,0.00843851
41,1675.4,0.62527,2.48069,0.89595,0.95588,0.94993,0.98037,0.89479,0.44978,1.36803,0.80104,0.0083622,0.0083622,0.0083622
42,3368.37,0.63423,2.52771,0.89922,0.95643,0.9493,0.98041,0.89542,0.44859,1.36543,0.80077,0.00828443,0.00828443,0.00828443
